# ID ra dec redshift
190 29.548041666666666 -39.54713888888889 0.018453
196 204.32779166666666 -28.656541666666666 0.008022
198 181.6898333333333 67.15666666666667 0.008382
201 13.422499999999998 18.091388888888886 0.015014
205 309.0218333333333 -73.10900277777777 0.012625
209 210.81562499999998 41.60398888888889 0.034446
210 210.5651666666666 33.66119166666667 0.034371
212 231.34791666666663 29.173472222222223 0.021466
217 207.88187499999998 -48.076036111111115 0.00984
220 234.60541666666663 46.90183333333333 0.043
223 261.6743333333333 13.909852777777779 0.023206
225 70.971625 -9.703111111111111 0.026
232 51.858124999999994 -47.82880555555556 0.048
233 52.74645833333333 -18.556441666666668 0.025451
235 289.8895416666666 -33.76722222222222 0.006929
247 341.3050833333333 -22.727727777777776 0.010207
249 21.400374999999997 -41.46551111111111 0.021638
250 152.0343333333333 19.29982777777778 0.033574
251 312.0324166666666 16.383702777777778 0.030314
253 0.9052083333333333 -34.55672222222222 0.02894
260 293.02919583333335 -62.44166388888888 0.033
264 307.38762499999996 -61.950950000000006 0.015
269 351.89833333333326 29.40865833333333 0.016
272 338.5107499999999 -32.39821666666666 0.0126
274 203.72697083333333 10.98463611111111 0.061
276 101.25700833333332 63.249969444444446 0.0222
277 142.55705833333332 69.11737222222222 0.0135
279 225.11533333333333 6.455363888888889 0.029791
280 85.02162916666666 -80.37295277777777 0.02
281 8.534166666666666 -29.557222222222222 0.038
285 5.3378749999999995 -48.64176111111111 0.011471
291 334.95599999999996 -40.667899999999996 0.010783
302 315.5901916666666 -54.58973888888889 0.0434
305 359.50344166666656 -41.53396111111111 0.023446
311 289.0859583333333 -60.19846944444444 0.013716
315 353.3018916666666 -60.57475 0.014827
325 52.31927916666666 -23.97856111111111 0.02
328 90.24554166666667 -17.992219444444444 0.0221
345 227.9278708333333 6.4198611111111115 0.031916
356 336.0909708333333 -33.69246111111111 0.011191
357 72.47697083333333 -41.93835 0.019657
362 358.41844999999995 -34.07431944444445 0.056
367 100.66287083333333 -53.24036944444445 0.027012
378 67.2558 -61.280338888888885 0.064
387 96.32085 -85.69826111111111 0.041665
390 50.72512499999999 -36.76476944444445 0.041062
404 314.67287916666663 -54.185919444444444 0.044107
405 94.09275 -21.359911111111114 0.009143
408 343.12232083333333 -11.090411111111111 0.025271
419 179.38309999999998 0.816625 0.06227
420 209.10155833333332 -0.24855555555555556 0.02975
423 11.947116666666666 -9.378408333333335 0.013963
426 204.62057083333332 2.5287055555555553 0.017996
428 36.13279999999999 -9.0935 0.052
429 155.37579999999997 1.0748 0.10975
430 154.8702708333333 2.8888861111111113 0.161
433 251.75077916666666 39.05996388888889 0.02922
434 155.80539999999996 4.594161111111111 0.06424
436 176.11857916666665 -1.8834305555555555 0.07717
437 160.4013083333333 11.077036111111111 0.0528237
440 172.8228 -0.9735 0.0639
441 181.49647916666666 10.016930555555556 0.092
442 194.8788458333333 40.602019444444444 0.065652
447 79.29804166666666 -64.95877777777778 0.00353
452 241.69559166666667 14.082108333333332 0.101295
453 243.29382499999994 9.828030555555555 0.01631
454 196.75809166666664 16.011622222222222 0.053
456 198.75304999999997 9.956680555555554 0.099
459 32.16868749999999 -6.454869444444444 0.092
460 342.19926666666663 28.1859 0.0899
461 31.721799999999998 -0.5231 0.043
462 184.0327125 1.2685694444444444 0.07538
463 185.20507083333334 0.6316972222222222 0.10279
464 180.75597916666666 1.4393111111111112 0.0841239
465 215.55005833333334 -0.1305777777777778 0.054
466 218.09905833333332 1.2802583333333333 0.1139
467 33.9386 0.8606 0.142
468 36.1658 -1.1046 0.068
469 17.6205 1.6905000000000001 0.044541
470 117.96619166666665 49.814227777777774 0.024437
471 218.72441249999997 -1.139238888888889 0.048
472 121.88499999999999 5.5342 0.031
473 337.71009999999995 -0.5233000000000001 0.081
474 21.65 0.41250000000000003 0.119
475 6.6427 0.4988 0.071
476 199.57379999999998 -2.8622 0.085
477 151.611 0.9642 0.046
478 160.9553 0.8637 0.118
479 207.94819999999996 2.7481 0.069
480 213.6922208333333 -3.159647222222222 0.047843
482 85.69817916666666 82.45739444444445 0.034897
484 228.31009999999998 4.286 0.036495
485 112.23320833333332 56.19616666666666 0.017896
486 220.01122499999997 -1.5281 0.080166
487 221.21832083333328 0.36679999999999996 0.037
489 218.408675 0.2924083333333333 0.12529
490 218.05819999999997 -1.8794388888888889 0.05398
491 157.17829999999998 -0.14429999999999998 0.035
492 41.020199999999996 0.7747 0.045
493 162.9937 -0.7251 0.108
494 6.560375 0.5456 0.064
495 48.893766666666664 -15.884613888888888 0.11566
496 25.195899999999995 -0.2179 0.05833
497 127.4187083333333 43.78147222222222 0.083957
498 143.80533333333332 50.472750000000005 0.066751
499 151.00637499999996 -6.4738444444444445 0.0124
501 169.89159999999998 25.729599999999998 0.09149
502 219.58139999999997 1.234288888888889 0.12278
503 229.94821666666664 -2.151261111111111 0.0369243
504 196.02854166666663 19.21214722222222 0.066341
505 151.11956249999997 72.568175 0.0481
506 236.94009999999997 28.6437 0.033224
507 178.34169999999997 -0.3137 0.134287
510 349.1049583333333 24.49661111111111 0.028006
511 32.87537499999999 -35.83213611111111 0.020748
512 11.18120833333333 41.89447222222222 0.000175
513 264.69420833333334 59.37288888888889 0.031041
524 181.78041666666667 53.668416666666666 0.0589
530 12.027416666666666 -78.59994444444445 0.01408
531 219.311375 38.456833333333336 0.012272
532 124.78887499999999 -67.50455555555556 0.023746
538 198.10841666666664 28.537833333333335 0.021218
539 206.19970833333332 37.161055555555556 0.02664
541 184.11299999999997 27.373344444444445 0.08
542 116.34570833333332 -71.41130555555556 0.017722
546 252.944 81.59980555555555 0.0394
550 319.1008291666666 -0.8286805555555555 0.01938
552 147.97836249999997 -14.601025 0.03138
561 314.780375 11.147583333333333 0.031
563 195.03187499999996 27.976027777777777 0.02163
571 247.39925 15.65838888888889 0.034117
572 10.013124999999997 41.7553 0.000175
575 352.22951249999994 -8.867011111111111 0.074
584 10.727833333333331 41.383469444444444 0.000175
585 23.525791666666663 30.624669444444446 0.00019
586 23.486583333333332 30.59788888888889 0.00019
591 256.5946 -62.157519444444446 0.00503
597 10.597916666666665 41.288830555555556 0.000175
598 350.27875 -8.109744444444445 0.0986
599 231.80746666666664 28.763894444444446 0.061936
608 252.9868875 25.924075000000002 0.035572
609 243.61433749999998 25.693638888888888 0.0638
610 352.99383333333327 28.947694444444444 0.018
612 48.46172083333333 -18.517169444444445 0.0523
616 31.06187083333333 -8.141319444444443 0.86
624 314.29249999999996 25.964469444444443 0.005084
635 140.49491666666665 50.955333333333336 0.00348
636 33.983374999999995 33.81197222222222 0.032
645 348.42454166666664 24.90233333333333 0.0266
654 10.621416666666665 40.88415 0.00018
662 72.92374999999998 -6.232111111111111 0.01293
674 23.292749999999998 30.536350000000002 0.00019
686 16.11170833333333 2.1730305555555556 -0.000781
687 18.462458333333334 13.27263888888889 0.0496
693 23.506541666666664 30.71108333333333 0.00019
695 123.44583333333331 58.08152777777778 0.027
697 47.37507916666666 -23.25073888888889 0.068708
700 10.694124999999998 41.28272222222222 0.000175
701 79.86752499999999 14.446827777777777 0.022899
703 18.4388625 -5.857944444444444 0.054371
716 10.381416666666665 41.120444444444445 0.000175
730 150.37258333333332 2.4760555555555555 2.8225
732 92.44170833333332 22.67535 0.037446
733 173.8469 -2.9688000000000003 0.146938
734 178.9603 -2.2502 0.345
735 195.53389999999996 -3.0977 0.088
736 198.35629999999998 0.6890000000000001 0.073
737 189.38039999999998 -1.7293 0.081
748 199.62009999999998 2.6857 0.147
749 177.36719999999997 1.9035 0.137
