# ID redshift petroMag_r rabsmag
47596 0.03901 16.94799 -18.519299251242106
50661 0.0333 12.64625 -22.541781094208023
54256 0.050822 15.80533 -20.273996230195955
25735 0.043 15.32683 -20.388827911221245
48931 0.021 14.24104 -19.941447370452078
48697 0.02993 15.2412 -19.679421679506994
47468 0.00526 16.28451 -14.85525043079981
46339 0.0096 12.39325 -20.161920268671395
49729 0.019 13.34967 -20.60309893478475
52864 0.03 16.54896 -18.391431883545067
47863 0.00833 13.10888 -19.06994686446795
50804 0.0309 14.17034 -20.813739997746982
48188 0.034 14.65278 -20.567460461937895
52744 0.0261 16.97079 -17.666022584245177
47847 0.039 14.85382 -20.650447995624955
46782 0.03511 16.35556 -18.88642958613182
32367 0.042812 22.48495 -13.221827808447765
49225 0.02445 13.70224 -20.800957057100465
49223 0.033 13.71757 -21.43497871061382
47658 0.038 14.36624 -21.097070102879417
52039 0.039 17.03712 -18.441122503828254
46683 0.031 13.64258 -21.404309027235023
50091 0.022 13.68857 -20.60315357320515
48317 0.0075 13.55314 -18.455100210498784
55297 0.0848 17.85967 -19.270804477901347
53594 0.074 15.83637 -21.034939818754815
46806 0.029 13.46083 -21.43751437349664
51038 0.039 15.29559 -20.20786342559703
47701 0.025 13.11954 -21.44973490121968
51576 0.0107 14.97902 -17.67546447333699
437 0.0528237 15.76897 -20.393218124552448
48324 0.00694 13.05253 -18.743098203321217
49412 0.007138 12.13941 -19.780304970727432
51298 0.046 20.23017 -15.73445557546808
4585 0.052745 15.24416 -20.91583872729285
47963 0.046 14.21155 -21.63831251998733
52385 0.0173 14.31549 -19.419174930953538
51587 0.0212 13.95667 -20.252066545032296
48864 0.02043 13.89531 -20.224174588659594
47234 0.023 13.63311 -20.779049745784306
47137 0.014 12.50558 -20.812121089800836
46999 0.00841 12.11827 -20.094878720784326
46598 0.00841 12.11827 -20.094878720784326
50714 0.019 16.36314 -17.56031547936321
51980 0.0416 14.07681 -21.568271423914496
52796 0.09 16.89518 -20.368954254179492
51018 0.057 15.70412 -20.592755889446693
51865 0.0144 13.61907 -19.736336290457636
53670 0.0606 16.57582 -19.855626193504975
48790 0.036 14.67503 -20.656936692359775
50822 0.0298 16.51666 -18.438360827531795
52286 0.026805 15.62854 -19.062243049226414
49624 0.028 14.035 -20.776783934196793
49234 0.028 14.035 -20.776783934196793
47851 0.035 13.50681 -21.784726767432893
48914 0.0057 12.51554 -18.92054795431385
50718 0.0242 13.28869 -21.227461416946745
47172 0.02864 13.30354 -21.60240314494711
52623 0.016345 12.39314 -21.248001479337074
48376 0.016345 12.39314 -21.248001479337074
50805 0.02 13.56252 -20.510555704330816
48587 0.02119 13.00824 -21.189216526909544
51283 0.0108 13.30426 -19.456576005151554
3010 0.069528 16.02552 -20.70419290937224
49634 0.02308 17.30374 -17.04138831375612
51037 0.024 21.06643 -13.399921355962231
52289 0.025235 14.41931 -20.161177389404966
50782 0.0275 12.84833 -21.91635040764162
51364 0.057 17.7379 -18.5400649786401
52480 0.029 16.6284 -18.226790458382585
47948 0.0108 13.25974 -19.503793076644172
50703 0.0347 13.51163 -21.730561452954674
51410 0.03 17.25584 -17.575859543882718
51300 0.026 15.50914 -19.16324471453983
51424 0.0146 12.79111 -20.68037141922432
48638 0.01459 12.79111 -20.678899356914435
11381 0.0251 18.25425 -16.290288003658183
49590 0.038 16.67028 -18.73295988972279
52452 0.023226 13.96366 -20.418521149150465
50980 0.09 16.54402 -20.725495359899703
12448 0.025 16.38794 -18.136231575599606
47298 0.01257 17.05656 -15.99240188600567
46636 0.019 13.27744 -20.699094120512104
49502 0.02384 13.31922 -21.167707232999344
50673 0.0124 14.38809 -18.656951460928713
49627 0.0286 14.25909 -20.58626621470032
13412 0.035563 16.30698 -18.972278022909727
50972 0.0217 13.19607 -21.098675901955673
50041 0.012 13.63316 -19.341253513299705
23993 0.03 16.72928 -18.20634348034053
46774 0.038 15.47595 -19.995789011008178
51768 0.0284 13.80241 -21.03188080530272
47850 0.012 11.89832 -21.139965186734294
46381 0.017 13.44008 -20.29634760840386
48335 0.017 13.44008 -20.29634760840386
50765 0.039 17.58476 -17.880431097925126
46368 0.025 13.2017 -21.39127595192022
345 0.031916 16.59179 -18.451452519623604
49586 0.024 13.90737 -20.547866746784564
50214 0.07 16.59816 -20.151265974986323
51070 0.029 14.01216 -20.85573807295935
50717 0.032 15.60545 -19.440396706597262
