ID,SpecObjID,photoObjID,hostra,hostdec,SDSSra,SDSSdec,SDSSredshift,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
47296,1087774385474922496,1237658205582000162,173.2333,50.24166,173.23478,50.241849,0.009780148,16.43616,14.84999,14.13497,13.77159,13.53693,0.02098403,0.01462594,0.01426805,0.0143436,0.01283216,0.05926754,0.04618086,0.03194771,0.02374057,0.01765862
46874,1091129541851637760,null,181.393,50.539,181.40234,50.534841,0.002622135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
51028,1091129541851637760,null,181.3958,50.53972,181.40234,50.534841,0.002622135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49441,450405073248348160,1237666407379042439,23.67432,-0.6042042,23.674293,-0.60419563,0.07956321,19.21459,17.29958,16.35376,15.94316,15.61864,0.08776243,0.01690727,0.01665167,0.01635702,0.01615546,0.1357872,0.1058045,0.07319507,0.05439178,0.04045749
42410,450373462289049600,1237663783134167137,24.0666,-0.789296,24.066625,-0.78931073,0.08443161,19.25776,18.11113,17.77156,17.40098,17.63076,0.1323133,0.03823984,0.04515293,0.04984749,0.1270165,0.127032,0.09898245,0.0684756,0.05088471,0.03784887
42312,449388574698137600,1237678617427378390,21.8093,1.25737,21.809359,1.2573639,0.1224298,18.6137,17.73546,17.14029,16.84179,16.88433,0.08797815,0.01920217,0.01099755,0.01971533,0.07335775,0.1215346,0.09469894,0.06551228,0.04868265,0.03621095
42829,449387750064416768,1237663784206926083,21.7535,0.146872,21.75348,0.1469023,0.1351979,19.22475,18.33398,17.62044,17.16142,16.98577,0.09505099,0.0192448,0.01624741,0.01535927,0.05097673,0.1352216,0.1053638,0.07289018,0.05416521,0.04028897
474,449386375674882048,1237656512816087170,21.65029,0.4111944,21.650323,0.41123157,0.1193631,19.51711,17.16165,16.15656,15.73923,15.44144,0.145147,0.02258566,0.022435,0.02161509,0.02508818,0.1375446,0.1071738,0.07414235,0.05509571,0.04098109
49803,449286594994661376,1237663783669661843,20.8124,-0.330239,20.812343,-0.33024166,0.07673978,18.02719,16.76,16.22157,15.85773,15.59728,0.0584618,0.03018383,0.02271633,0.02497776,0.03097733,0.1520899,0.1185074,0.08198287,0.06092206,0.04531482
14408,1095546554669885440,1237655472898572935,255.1225,32.73267,255.12255,32.732702,0.0367514,17.93202,16.77746,16.26349,16.04441,15.92802,0.06409575,0.01915685,0.0307884,0.07495914,0.05242731,0.100593,0.07838141,0.0542239,0.04029417,0.02997146
51341,1097848931766790144,1237655472899228272,255.9708,31.49917,255.97097,31.499078,0.03368952,16.81256,15.32577,14.57782,14.1465,13.8781,0.08803377,0.05447111,0.04644152,0.04515209,0.03370048,0.1304845,0.1016726,0.07033666,0.05226768,0.03887755
51357,1098886046143244288,1237654952673804575,259.0458,31.79222,259.04431,31.792304,0.02286989,16.2582,14.96885,14.42388,14.0979,13.86417,0.02539426,0.01514274,0.01026032,0.009165816,0.0135791,0.1710922,0.1333138,0.09222591,0.06853373,0.05097651
52652,1101257693194119168,1237655502963081493,258.6502,30.73353,258.65022,30.733536,0.02959387,16.58175,15.34157,14.67415,14.29631,14.0657,0.02334246,0.007355623,0.006355166,0.00664733,0.01024496,0.2060483,0.1605514,0.1110687,0.08253598,0.06139161
49689,1106809952070035456,1237663542601711781,313.038,-0.5109,313.03787,-0.51093204,0.07049796,19.42628,18.66701,18.27049,17.78055,17.08078,0.04748194,0.06203501,0.07518116,0.07637556,0.03405476,0.4722575,0.3679799,0.2545668,0.1891704,0.140708
49352,1106834141325846528,1237656568112154092,312.653,-0.354234,312.65278,-0.35423445,0.2590819,19.95055,19.18628,18.16748,17.70559,17.44932,0.2492167,0.05352252,0.02347888,0.03797011,0.1093825,0.5754086,0.4483545,0.3101696,0.2304892,0.1714416
