# ID ra dec redshift vflag
2057 339.69046249999997 -36.74336388888889 0.060072 9
2065 260.6894166666666 62.17041111111111 0.02676 9
2071 249.39292916666665 50.34577777777778 0.020297 9
2085 204.25008333333332 -29.864563888888892 0.001733 9
2101 216.01788333333332 29.346663888888887 0.114706 9
2103 310.9331708333333 -1.2388777777777777 0.056079 9
2104 216.0387333333333 12.258483333333333 0.026235 0
2115 199.15432916666666 7.308761111111111 0.102764 9
2122 227.83455833333332 -3.192883333333333 0.113669 9
2177 9.740316666666665 42.71638888888889 0.000175 9
2194 10.793891666666665 41.28241944444444 -0.001 9
2209 103.95646666666666 40.000252777777774 0.017122 9
2228 267.2787583333333 8.102802777777777 0.021171 9
2243 206.33747499999998 53.56124166666666 0.067811 0
2244 11.082708333333333 41.49069444444444 0.000175 9
2248 80.24230416666666 -21.58886111111111 0.083594 9
2250 224.52654166666665 44.979144444444444 0.035716 0
2255 32.90599166666666 34.04206666666666 0.020598 9
2282 359.14692499999995 -40.29993888888889 0.517745 9
2300 40.2822375 -5.561133333333333 0.040705 9
2301 32.16799166666666 -0.2796166666666667 0.066715 9
2303 216.94545416666665 69.69496388888889 0.030074 9
2307 0.4102083333333333 23.48411388888889 0.0146 9
2335 107.08567916666665 18.780094444444444 0.007358 9
2347 338.063925 -23.78713888888889 0.0545 9
2351 10.150599999999999 41.64720277777778 0.000175 9
2374 134.34507916666664 22.275375 0.083357 0
2376 318.17539999999997 13.981152777777778 0.016958 9
2378 88.72346666666667 46.43931388888888 0.020484 9
2379 10.193545833333332 -26.342569444444443 0.1035 9
2471 10.0377 41.6156 0.000175 9
2479 357.9913666666667 -28.495747222222224 0.060493 9
2488 10.885499999999999 41.120222222222225 0.000175 9
2497 66.70404166666667 29.952283333333334 0.017459 9
2504 10.707666666666665 41.393055555555556 0.000175 9
2524 119.63058333333332 26.12086111111111 0.02 2
2525 340.0893333333333 14.518719444444445 0.087 9
2527 10.667041666666664 41.29102777777778 0.000175 9
2531 23.44470833333333 30.53836111111111 0.00019 9
2532 280.21666666666664 45.26141666666667 0.007862 9
2542 38.56091666666666 2.613675 0.047339 9
2548 117.59374999999997 33.88491388888889 0.062 2
2577 126.14396666666666 54.85986666666667 0.024967 2
2582 10.728999999999997 41.208000000000006 0.000175 9
2589 290.2929 43.9426 0.054324 9
2590 173.46651249999996 53.11863888888889 0.003536 2
2605 93.2919125 50.44128611111111 0.019093 9
2617 26.22825 10.425916666666666 0.018079 9
2618 176.29662916666663 61.70843055555556 0.035317 1
2619 166.69767916666666 72.56859722222222 0.008836 9
2621 174.70663333333331 57.71202777777778 0.116198 9
2623 356.2066333333333 12.362030555555556 0.199 9
2629 94.65932916666667 78.35749444444444 0.002979 9
2631 185.75833749999998 58.4447 0.015417 2
2632 196.44577916666665 59.843133333333334 0.060063 1
2633 151.95451249999996 39.738350000000004 0.080835 1
2634 181.33920833333332 53.77735 0.04977 0
2635 175.71770416666664 26.54075277777778 0.028526 0
2636 10.850295833333332 41.25865833333334 -0.001 9
2640 30.292916666666663 -33.208333333333336 0.035504 9
2641 10.698083333333331 41.28872222222222 -0.001 9
2668 4.1228 -29.17171111111111 0.04827 9
2672 196.56013749999997 45.78720277777778 0.09028 0
2677 327.5920333333333 -0.3098472222222222 0.070926 9
2679 15.687583333333333 -21.957475 0.056492 9
2680 227.7173708333333 21.546566666666667 0.090661 1
2682 67.82271666666666 -13.067933333333333 0.100639 9
2683 350.709275 -11.739255555555555 0.063544 9
2688 28.03952083333333 33.18692222222222 0.085669 9
2690 340.99850833333323 20.370147222222222 0.500142 9
2691 319.60160833333333 -39.271316666666664 0.058314 9
2694 346.8452708333333 43.603905555555556 0.015464 9
2705 70.81549166666666 -8.605052777777777 0.091403 9
2732 11.249829166666665 -1.024375 0.104691 9
2748 141.36772499999998 23.608494444444446 0.032857 0
2757 179.66842083333333 64.96204166666666 0.033784 2
2758 123.86398333333332 48.23475555555556 0.09901 2
2761 10.043991666666665 -10.440647222222223 0.027219 9
2765 57.781683333333326 -5.443725000000001 0.067784 9
2768 114.23742916666664 58.77048611111111 0.039874 9
2769 115.63683749999998 49.809663888888885 0.022189 2
2770 137.04311249999998 50.15641111111111 0.098113 2
2772 11.830804166666665 14.703441666666667 0.039317 9
2776 128.00889999999998 46.24041666666667 0.045906 1
