# ID SN_Type SN_RA SN_Dec Redshift Kind_z Host_Name Host_RA Host_Dec vflag rmag AbsMag
94 Candidate 176.11857916666665 -1.8834305555555555 0.07717 host GAMAJ114428.45-015300.3 -999.0 -999.0 2 -999.0 -999.0
95 Candidate 160.4013083333333 11.077036111111111 0.0528237 host "SDSS J104136.33+110429.4" 160.40137499999997 11.074833333333332 0 15.76897 -20.22927760362357
96 Candidate 146.01832499999995 39.39698888888889 -999.0 -999 "2MFGC 7551" -999.0 -999.0 -999 -999.0 -999.0
97 Candidate 187.7847375 52.415016666666666 -999.0 -999 "UGC 7661" -999.0 -999.0 -999 -999.0 -999.0
98 Candidate 172.8228 -0.9735 0.0639 host "SDSS J113117.55-005828.8" 172.823125 -0.9746666666666667 0 17.21167 -19.19993780543164
99 Candidate 181.49647916666666 10.016930555555556 0.092 host "SDSS J120559.29+100058.5" 181.49704166666666 10.01625 0 16.97682 -20.22622265136741
100 Candidate 194.8788458333333 40.602019444444444 0.065652 host "IC 3993" -999.0 -999.0 0 -999.0 -999.0
101 Candidate 235.66891249999995 33.25071111111111 -999.0 -999 "SDSS J154240.42+331504.4" 235.66841666666664 33.251222222222225 -999 16.93563 nan
102 Candidate 101.80921666666664 65.77030555555555 -999.0 -999 "2MASX J06471436+6546183" 101.80983333333333 65.77175 -999 17.12128 nan
103 Candidate 136.6010583333333 27.625008333333334 -999.0 -999 "2MFGC 7092" -999.0 -999.0 -999 -999.0 -999.0
104 Candidate 189.99202916666664 33.68818611111111 -999.0 -999 "2MASX J12395851+3341254" 189.99379166666665 33.69038888888888 -999 16.17943 nan
105 Candidate 79.29804166666666 -64.95877777777778 0.00353 host "NGC 1892" -999.0 -999.0 9 -999.0 -999.0
106 Candidate 282.78343333333333 -0.7468083333333333 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
107 Candidate 31.712587499999998 14.724530555555555 -999.0 -999 "IC 1780" -999.0 -999.0 -999 -999.0 -999.0
108 Candidate 167.47611666666666 24.257172222222223 -999.0 -999 "UGC 6207" -999.0 -999.0 -999 -999.0 -999.0
109 Candidate 244.10285416666662 51.05428055555555 -999.0 -999 -999 -999.0 -999.0 -999 -999.0 -999.0
110 Candidate 241.69559166666667 14.082108333333332 0.101295 host "2MASX J16064672+1404531" 241.69466666666665 14.081416666666666 9 16.52535 -20.88669355851896
111 Candidate 243.29382499999994 9.828030555555555 0.01631 host "LEDA 214471" -999.0 -999.0 1 -999.0 -999.0
112 Candidate 196.75809166666664 16.011622222222222 0.053 host "IC 0848, IC 848" -999.0 -999.0 0 -999.0 -999.0
113 Candidate 353.9830124999999 11.60656111111111 -999.0 -999 "2MASX J23355619+1136259" 353.98412499999995 11.607194444444444 -999 16.53105 nan
114 Candidate 198.75304999999997 9.956680555555554 0.099 host "SDSS J131500.97+095723.2" 198.75404166666667 9.956444444444443 2 20.00002 -17.362259487627384
115 Candidate 24.710774999999995 1.7333472222222224 -999.0 -999 "2MASX J01385097+0144007" 24.712374999999994 1.7335277777777778 -999 16.82581 nan
116 Candidate 10.052866666666665 21.075894444444444 -999.0 -999 "2MASX J00401297+2104289" 10.054041666666665 21.074694444444443 -999 14.76092 nan
117 Candidate 32.16868749999999 -6.454869444444444 0.092 host "2MASX J02084068-0627171" 32.16949999999999 -6.45475 9 16.85512 -20.347922651367412
118 Candidate 342.19926666666663 28.1859 0.0899 host "2MASX J22484796+2811105" 342.1998333333333 28.18625 9 16.31334 -20.83956197330578
119 Candidate 31.721799999999998 -0.5231 0.043 host "IC 1781" -999.0 -999.0 9 -999.0 -999.0
