ID,hostra,hostdec,petroMag_r
54274,204.3302,-1.295611,16.25221
48566,249.7667,42.35889,21.29793
54999,250.9509,41.04536,18.80881
50109,251.7625,40.14389,14.72759
52823,251.6078,40.04497,16.42405
52652,258.6502,30.73353,14.67415
38847,259.2335,31.92408,15.69991
51455,259.225,31.56389,21.5077
54326,254.2708,39.38161,18.68706
54687,255.0744,38.39256,15.51016
474,21.65029,0.4111944,16.15656
47657,263.8875,60.81445,12.0675
41018,310.868,-1.20479,21.30536
50466,311.797,-1.25807,16.6215
41209,312.273,-1.24019,20.64136
41659,312.585,-1.23247,19.33744
45010,313.198,-1.09216,23.0639
41749,320.467,-1.17828,21.6896
40886,323.785,-1.12558,21.98112
43729,329.849,-1.10851,17.84284
44386,330.376,-1.16783,17.04909
45355,335.256,-1.20391,19.7104
45124,312.014,-0.808794,18.69102
49387,312.5792,-0.8252778,23.36593
45223,315.732,-0.642529,21.1571
40452,325.53,-0.676074,20.35061
43497,326.809,-0.778515,20.50313
43591,333.925,-0.790925,21.18176
41213,336.7017,-0.8157569,19.60988
49943,313.4925,-0.3605678,18.90571
43659,314.141,-0.387849,21.01494
45150,311.066,0.0519624,21.35326
45038,311.112,0.540998,22.13144
43441,313.097,0.564324,19.71437
49382,313.83,0.5406111,14.40818
44923,307.662,0.944182,16.96465
42427,308.988,0.943474,22.24021
49148,310.2,1.042778,23.357
40681,334.909,-0.872051,16.6208
44484,356.047,-0.959082,18.07043
41896,358.508,-0.847038,18.24502
40834,357.473,-1.03217,20.38939
41843,355.936,-0.873485,18.50324
42316,354.406,-0.950633,19.72821
36730,353.3282,-0.9508306,21.82714
44483,353.209,-1.04106,20.60029
41653,353.056,-0.899938,18.81269
42731,351.39,-0.982363,20.92972
42349,351.208,-0.992463,18.23429
43399,350.4433,-0.9763597,20.16392
41528,349.146,-0.986672,19.40883
44881,348.7924,-0.9947556,21.33557
43161,347.686,-0.942956,18.49759
40341,347.317,-1.00443,20.12004
42730,345.584,-0.908591,20.24468
43155,344.2632,-0.8877553,20.91141
40292,341.17,-0.864988,16.8664
43248,340.965,-0.977481,19.16119
42728,340.454,-0.962831,20.33816
41161,337.45,-0.893572,17.46222
44481,336.2507,-0.9781003,22.96578
43042,335.887,-0.844011,19.16742
42040,334.279,-0.9,21.13767
45508,333.043,-0.912854,16.862
40822,311.4124,1.186731,20.79184
40333,309.637,1.20825,20.59384
43730,307.123,0.787977,21.50228
42778,41.8341,-0.105456,19.42971
41482,307.204,0.288583,20.35386
41894,306.839,-0.0192465,20.09303
50395,312.373,0.004690944,19.74302
41226,311.905,0.006307417,20.95348
41909,329.357,-0.376692,18.52705
49352,312.653,-0.354234,18.16748
44164,337.882,-0.714956,18.70255
43499,336.955,-0.633067,20.35742
43837,336.69,-0.670305,17.99837
42726,335.045,-0.739868,22.90537
44398,334.512,-0.631539,21.4305
36954,333.9669,-0.8254778,19.09059
41917,332.932,-0.684823,20.13715
40893,330.905,-0.707137,19.26855
40892,330.698,-0.643884,20.79323
45666,327.355,-0.784497,20.12197
45126,325.966,-0.71828,17.6242
41624,312.579,-0.787794,21.03139
42850,308.666,-0.630353,20.7015
