# ID claimedtype ra dec redshift redshift_kind host hostra hostdec vflag rmag abs_mag
4254 NT 179.57509166666665 10.056291666666667 0.069954 -999 "2MASX J11581803+1003229" 179.57512499999996 10.056361111111112 1 16.34161 -20.26655627806124
4295 Candidate 157.5570833333333 22.31688888888889 0.04 host "2MASX J10301410+2218512" 157.55874999999997 22.314222222222224 0 14.96027 -20.434133471279445
4313 Candidate 198.87541666666664 29.88975 0.092932 host "2MASX J13152957+2953168" 198.8732083333333 29.887999999999998 1 16.16894 -21.055989933393754
4322 Candidate 182.8828333333333 16.28086111111111 0.023 host "2MASX J12113180+1616499" 182.8825 16.280527777777777 0 15.96887 -18.223872694727596
4568 Candidate 128.92716666666666 49.120222222222225 0.05 host "2MASS J08354255+4907116" 128.92729166666666 49.11988888888889 1 16.91579 -18.963163536319726
4585 Candidate 123.65483749999996 6.992161111111111 0.052745 -999 "2MASX J08143692+0659325" 123.65383333333331 6.992361111111111 1 15.24416 -20.750849997964174
4691 Candidate 176.50445833333333 20.166361111111108 0.080849 host "2MASS J11460118+2009573" 176.50491666666667 20.165916666666664 1 17.50986 -19.412616777647177
4692 Candidate 176.01224999999997 20.347472222222223 0.039119 host "2MASS J11440273+2020512" 176.01137499999996 20.347555555555555 1 17.35769 -17.988352236522058
7005 "II P" 166.96066666666664 18.994194444444446 0.02 -999 A110750+1859 166.95833333333331 18.99416666666667 1 24.45693 -9.43232349295954
7549 "II P, PISN, II" 140.14274999999998 50.696777777777775 0.0344 -999 "SDSS J092034.44+504148.7" 140.1435 50.696861111111104 1 18.81042 -16.25647572749729
11323 II 185.09374999999997 28.414277777777777 0.027 -999 "SDSS J122021.24+2824" 185.08849999999998 28.4 0 22.73049 -11.810432335434573
11332 II 182.37337499999998 20.103694444444447 0.04 -999 "SDSS J120929.60+2006" 182.37333333333333 20.1 1 16.66252 -18.731883471279446
11381 II 186.82979166666664 7.283972222222222 0.0251 -999 "SDSS J122719.05+071702.6" 186.82937499999997 7.284055555555556 1 18.25425 -16.128222122044832
11403 "II P" 175.25854166666664 65.04258333333333 0.04 -999 "2MASX J11410258+6502373" 175.26075 65.04369444444444 1 17.02824 -18.366163471279446
12448 Candidate 187.14941666666667 7.489388888888889 0.025 host "SDSS J122835.99+072917.6, SDSS J122835.99+072917.7" 187.14995833333333 7.488222222222222 1 16.38794 -17.98586355799982
12857 Candidate 222.21133333333333 57.769169444444444 0.044 -999 "MCG +10-21-32, SDSS J144850.44+574615.1" 222.21016666666665 57.77086111111111 0 14.46234 -21.13902689707058
13412 Candidate 220.57574999999997 10.422788888888888 0.035563 -999 "SDSS J144218.64+102521.1" 220.57766666666663 10.422527777777777 1 16.30698 -18.832115463488545
15099 Candidate 117.77984166666666 52.75613333333333 0.049715 -999 "2MASX J07510619+5245239" 117.77579166666665 52.75663888888889 1 15.89847 -19.968070733393358
15194 Candidate 138.20112499999996 27.128619444444446 0.047335 -999 "LEDA 1798547, SDSS J091248.13+270740.2" 138.20054166666665 27.127833333333335 1 16.14446 -19.615555421906617
15399 Candidate 183.50689166666663 38.552749999999996 0.037818 -999 "2MASXi J1214015+383303" 183.50624999999997 38.55083333333333 0 15.71461 -19.55798630218593
23993 "II P" 242.30416666666665 23.46686111111111 0.03 -999 "SDSS J160913.32+232755.1" 242.30549999999994 23.465305555555556 1 16.72928 -18.040429788237947
25389 IIn 120.02374999999998 36.74344444444444 0.03976 -999 "PGC 2086067, 2MASX J08000595+3644262" 120.02479166666666 36.740611111111114 0 15.00419 -20.37714539326602
25735 II 133.9890833333333 6.336722222222222 0.043 -999 "2MASX J08555722+0620101" 133.98841666666667 6.336138888888889 1 15.32683 -20.22461579253757
26069 II 231.8233333333333 37.84730555555556 0.033 -999 "2MASX J15271755+3750450" 231.82312499999998 37.84583333333334 0 16.54339 -18.43328321402908
26342 II 224.08474999999996 45.275416666666665 0.0305 -999 "2MASX J14562053+4516275" 224.08554166666664 45.27430555555556 1 15.55204 -19.25356271137357
32367 Candidate 244.0092666666666 38.99863055555556 0.042812 -999 "SDSS J161602.94+385957.4" 244.01224999999994 38.99927777777778 1 22.48495 -13.056981098412333
