ID,PhotoObjID,hostra,hostdec,SDSSra,SDSSdec,petroMag_u,petroMag_g,petroMag_r,petroMag_i,petroMag_z,petroMagErr_u,petroMagErr_g,petroMagErr_r,petroMagErr_i,petroMagErr_z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
47675,1237663783669597119,20.71667,-0.2722222,20.7149081940637,-0.270566954331197,24.5531,23.80471,22.46635,21.38776,20.53153,1.590827,0.672669,0.3373973,0.1813793,0.3224934,0.1559435,0.1215101,0.08406013,0.06246569,0.046463
49803,1237663783669661843,20.8124,-0.330239,20.8123573668057,-0.330242654437576,18.02719,16.76,16.22157,15.85773,15.59728,0.0584618,0.03018383,0.02271633,0.02497776,0.03097733,0.1520899,0.1185074,0.08198287,0.06092206,0.04531482
42150,1237663783669662154,20.8314,-0.245461,20.8314384706682,-0.245464809516639,25.63739,21.95971,20.24995,19.70493,19.29419,1.964853,0.2873437,0.08230943,0.08348592,0.1868658,0.1447533,0.1127908,0.07802815,0.05798328,0.0431289
42449,1237663783670120558,21.8587,-0.343341,21.8587288905362,-0.343339820967703,20.23238,19.0822,18.32654,17.91069,17.747,0.1884699,0.03230008,0.02143163,0.02491243,0.08402541,0.1231709,0.09597393,0.06639432,0.04933809,0.03669848
45681,1237663783670121497,21.9849,-0.376613,21.9848651776465,-0.376610372835384,22.21889,24.11876,22.00727,22.44297,20.98924,0.5613697,1.537284,0.3499398,0.8395746,0.7785746,0.1358192,0.1058294,0.07321227,0.05440456,0.040467
44173,1237663783670186810,22.0066,-0.39991,22.006630432856,-0.399906093174236,24.74678,22.94482,22.38143,21.58521,20.64531,3.087748,0.5987918,0.5603916,0.3103236,0.7267166,0.1350026,0.1051931,0.07277209,0.05407747,0.0402237
43679,1237663783670579439,23.0335,-0.420262,23.0334965966697,-0.420264384508732,21.49426,21.12222,20.62576,20.85203,20.32189,0.2490493,0.08872587,0.08666086,0.152704,0.376985,0.155883,0.121463,0.08402754,0.06244147,0.04644498
41996,1237663783670710372,23.2356,-0.329184,23.2356016584662,-0.329185122058153,20.77559,19.47313,18.92836,18.62108,18.42248,0.1881038,0.03135198,0.02738445,0.03158024,0.09844575,0.1308671,0.1019708,0.07054289,0.05242093,0.03899154
42455,1237663783670972542,23.8542,-0.421417,23.8541911825395,-0.421418849806077,20.09427,18.8652,18.14379,17.71047,17.48836,0.1321084,0.03621608,0.02321011,0.02496265,0.05355215,0.1323062,0.1030921,0.07131865,0.0529974,0.03942033
41391,1237663783671366737,24.7725,-0.366175,24.772549223031,-0.366174344186491,23.82892,23.52643,22.92313,21.94551,22.54227,0.9657701,0.4432903,0.3821535,0.2453443,1.114527,0.1296713,0.101039,0.06989833,0.05194195,0.03863527
