# ID claimedtype dec host hostdec hostra ra redshift redshift_kind
210 Ib 33.66119166666667 "PGC 2036567, 2MASX J14021617+3339415, 2MASX J14021617+3339" 33.66152777777778 210.56737499999997 210.5651666666666 0.034371 ""
212 II 29.173472222222223 "SDSS J152523.40+291018.8" 29.17188888888889 231.34749999999997 231.34791666666663 0.021466 ""
217 "II P" -48.076036111111115 "ESO 221-G12, ESO 221-G012" "" "" 207.88187499999998 0.00984 ""
220 Ic 46.90183333333333 "SDSS J153825.20+465404.1" 46.90113888888889 234.60499999999996 234.60541666666663 0.043 ""
223 "Ia, Ia-91T" 13.909852777777779 "CGCG 082-031" "" "" 261.6743333333333 0.023206 ""
225 "II Pec" -9.703111111111111 "GALEXASC J044353.08-094205.8, GALEXASC J044353.08-" -9.701611111111111 70.97116666666666 70.971625 0.026 ""
232 "Ia, Ia-91T" -47.82880555555556 None "" "" 51.858124999999994 0.048 ""
233 II -18.556441666666668 "2MASX J03305920-1833266" -18.55738888888889 52.746666666666655 52.74645833333333 0.025451 ""
235 II -33.76722222222222 "HIPASS J1919-33" "" "" 289.8895416666666 0.006929 ""
247 II -22.727727777777776 "ESO 534-G024, ESO 534- G 024" "" "" 341.3050833333333 0.010207 ""
249 IIb -41.46551111111111 "ESO 296-G027" "" "" 21.400374999999997 0.021638 ""
250 IIn 19.29982777777778 "SDSS J100807.76+191758.2" 19.299500000000002 152.0323333333333 152.0343333333333 0.033574 ""
251 "Ic Pec, Ia" 16.383702777777778 "CGCG 448-007" "" "" 312.0324166666666 0.030314 ""
253 II -34.55672222222222 "GALEXASC J000337.23-343323.1" -34.556416666666664 0.905125 0.9052083333333333 0.02894 ""
257 "" -53.402138888888885 "" "" "" 306.34637499999997 "" ""
260 "Ia, Ia-91T" -62.44166388888888 "2MASX J19320827-6226340" -62.44277777777778 293.0344583333333 293.02919583333335 0.033 ""
264 Ib -61.950950000000006 "GALEXASC J202933.17-615703.5" -61.95097222222223 307.38820833333335 307.38762499999996 0.015 ""
269 "II P" 29.40865833333333 "2MASX J23273537+2924275" 29.407638888888886 351.89737499999995 351.89833333333326 0.016 ""
272 IIb -32.39821666666666 "2MASX J22340166-3223490" -32.39694444444444 338.5069166666666 338.5107499999999 0.0126 ""
274 IIn 10.98463611111111 "GALEXASC J133454.49+105906.7" 10.985194444444444 203.72704166666665 203.72697083333333 0.061 ""
276 "Ia, II" 63.249969444444446 Unknown "" "" 101.25700833333332 0.0222 ""
277 "Ia Pec, Ia-91T" 69.11737222222222 "KUG 0925+693" "" "" 142.55705833333332 0.0135 ""
279 "II, Ia, Ia-91bg" 6.455363888888889 "KUG 1457+066" "" "" 225.11533333333333 0.029791 ""
280 Ic -80.37295277777777 "2MASX J05395948-8022191" -80.37197222222221 84.99783333333333 85.02162916666666 0.02 ""
281 "IIn Pec" -29.557222222222222 "GALEXASC J011659.34-045630.6" -4.941833333333333 19.247249999999998 8.534166666666666 0.038 ""
285 "Ia, Ia-91T" -48.64176111111111 "NGC 88" "" "" 5.3378749999999995 0.011471 ""
289 "" 79.19978055555556 "" "" "" 220.85724166666662 "" ""
290 "" 40.14324444444444 M31 "" "" 11.171137499999999 -0.001001 host
